Expiration,Days,Strike,Call Bid,Call Ask,Put Bid,Put Ask
20090110,9,200,717.6,722.8,0,0.05
20090110,9,250,667.6,672.9,0,0.05
20090110,9,300,617.9,622.9,0,0.05
20090110,9,350,567.9,572.9,0,0.05
20090110,9,375,542.9,547.9,0,0.1
20090110,9,400,517.7,523.2,0.05,0.2
20090110,9,425,493.5,498.7,0.05,0.2
20090110,9,450,468,473,0.05,0.2
20090110,9,470,448,453,0.05,0.25
20090110,9,475,443,448,0.05,0.25
20090110,9,480,438,443,0.05,0.3
20090110,9,490,428,433,0.05,0.8
20090110,9,500,418,423,0.05,0.3
20090110,9,510,407.8,413.3,0.05,0.4
20090110,9,520,397.8,403.3,0.05,0.75
20090110,9,525,392.8,398.3,0.05,0.8
20090110,9,530,388.6,393.8,0.05,0.8
20090110,9,540,378.1,383.1,0.05,0.75
20090110,9,550,368.1,373.1,0.1,0.2
20090110,9,560,357.9,363.4,0.05,0.7
20090110,9,570,347.9,353.4,0.05,0.75
20090110,9,575,343.2,348.2,0.05,0.4
20090110,9,580,338.2,343.2,0.05,0.8
20090110,9,585,333,338.7,0.1,0.75
20090110,9,590,328,333.5,0.05,0.75
20090110,9,595,323.5,329,0.05,0.45
20090110,9,600,318.3,323.3,0.25,0.5
20090110,9,605,313.1,318.8,0.1,0.8
20090110,9,610,308.1,313.6,0.1,0.8
20090110,9,615,303.4,308.4,0.1,0.85
20090110,9,620,298.2,303.7,0.1,0.85
20090110,9,625,293.7,299.2,0.4,0.9
20090110,9,630,288.5,293.5,0.1,0.9
20090110,9,635,283.3,288.8,0.1,0.95
20090110,9,640,278.6,283.6,0.3,1.05
20090110,9,645,273.4,278.9,0.1,1.1
20090110,9,650,268.5,274.2,0.5,1.1
20090110,9,655,263.8,268.8,0.2,1.25
20090110,9,660,258.6,264.1,0.3,1.3
20090110,9,665,253.7,259.4,0.2,1.3
20090110,9,670,249,254,0.4,1.45
20090110,9,675,244.1,249.1,0.5,1.5
20090110,9,680,239.2,244.2,0.55,1.55
20090110,9,690,229.4,234.4,0.7,1.85
20090110,9,700,219.4,225.1,1.3,1.7
20090110,9,710,209.9,214.9,1.1,2.4
20090110,9,720,200,205.7,1.1,3
20090110,9,725,195.2,200.9,2,3
20090110,9,730,190.6,195.6,1.4,3.5
20090110,9,740,180.8,186.5,1.8,4
20090110,9,750,171.3,177,3.2,3.9
20090110,9,760,162.1,167.1,2.85,5
20090110,9,770,152.8,157.8,4,5.6
20090110,9,775,148.2,153.2,3.9,5.9
20090110,9,780,143.6,148.6,4.1,6.7
20090110,9,790,134.6,140.1,4.9,7.5
20090110,9,800,125.6,131.1,6.1,7.5
20090110,9,805,121,126,6.4,9.1
20090110,9,810,116.5,121.5,7.1,9.5
20090110,9,815,112.2,117.2,7.5,10.3
